timestamp,voltage_a0,voltage_a1
2025-06-15 18:17:02.978,1.9909,0.29
2025-06-15 18:17:08.077,1.9913,0.2899
2025-06-15 18:17:13.216,1.9911,0.2899
2025-06-15 18:17:18.296,1.9915,0.2894
2025-06-15 18:17:23.476,1.9919,0.2899
2025-06-15 18:17:33.750,1.9923,0.29
2025-06-15 18:17:38.859,1.9923,0.2901
2025-06-15 18:17:43.982,1.9926,0.29
2025-06-15 18:17:49.121,1.9925,0.29
2025-06-15 18:18:09.676,1.9929,0.2899
2025-06-15 18:18:14.793,1.993,0.2899
2025-06-15 18:18:30.172,1.993,0.2899
2025-06-15 18:18:35.259,1.9931,0.2899
2025-06-15 18:19:11.010,1.9936,0.2901
2025-06-15 18:19:16.118,1.9935,0.29
2025-06-15 18:19:21.220,1.9936,0.2901
2025-06-15 18:19:36.585,1.9938,0.2901
2025-06-15 18:19:41.670,1.9937,0.29
2025-06-15 18:19:51.979,1.9936,0.29
2025-06-15 18:19:57.066,1.9938,0.2901
2025-06-15 18:20:02.147,1.994,0.2901
2025-06-15 18:20:07.326,1.994,0.2901
2025-06-15 18:20:12.442,1.9939,0.2901
2025-06-15 18:20:17.587,1.9939,0.2901
2025-06-15 18:20:27.886,1.9938,0.2901
2025-06-15 18:20:48.261,1.9939,0.2901
2025-06-15 18:20:58.503,1.9934,0.2901
2025-06-15 18:21:03.608,1.9944,0.2901
2025-06-15 18:21:29.117,1.9941,0.29
2025-06-15 18:21:39.316,1.9941,0.2894
2025-06-15 18:21:49.471,1.9944,0.2901
2025-06-15 18:21:59.624,1.9944,0.2901
2025-06-15 18:22:09.777,1.9942,0.8714
2025-06-15 18:22:25.031,1.9944,0.8742
2025-06-15 18:22:35.222,1.9942,0.8477
2025-06-15 18:22:45.376,1.9934,0.8182
2025-06-15 18:23:00.640,1.994,0.7713
2025-06-15 18:23:10.872,1.994,0.7344
2025-06-15 18:23:21.022,1.9939,0.7076
2025-06-15 18:23:31.173,1.9938,0.6846
2025-06-15 18:23:41.326,1.9939,0.6687
2025-06-15 18:23:56.580,1.9931,0.6226
2025-06-15 18:24:22.070,1.9938,0.5947
2025-06-15 18:24:47.569,1.9943,0.5625
2025-06-15 18:25:13.076,1.9943,0.5272
2025-06-15 18:25:23.260,1.9942,0.5835
2025-06-15 18:25:33.407,1.9943,0.5579
2025-06-15 18:25:48.658,1.9943,0.5618
2025-06-15 18:26:14.198,1.9941,0.5578
2025-06-15 18:26:24.397,1.9941,0.5707
2025-06-15 18:26:34.544,1.9941,0.5658
2025-06-15 18:26:44.693,1.9941,0.5613
2025-06-15 18:26:54.848,1.994,0.5574
2025-06-15 18:27:04.997,1.7839,0.5988
2025-06-15 18:27:10.058,1.7696,0.5876
2025-06-15 18:27:20.298,1.7569,0.5768
2025-06-15 18:27:30.452,1.7496,0.5703
2025-06-15 18:27:45.702,1.7529,0.5872
2025-06-15 18:27:55.932,1.7508,0.7996
2025-06-15 18:28:06.080,1.7486,0.7026
2025-06-15 18:28:16.243,1.7468,0.6875
2025-06-15 18:28:26.396,1.7457,0.6796
2025-06-15 18:28:41.648,1.7439,0.6764
2025-06-15 18:28:51.848,1.7431,0.6805
2025-06-15 18:29:07.109,1.7414,0.6829
2025-06-15 18:29:17.346,1.7404,0.6877
2025-06-15 18:29:32.598,1.7387,0.6873
2025-06-15 18:29:42.844,1.7376,0.6828
2025-06-15 18:29:58.101,1.7359,0.6829
2025-06-15 18:30:08.343,1.7348,0.6803
2025-06-15 18:30:18.497,1.7338,0.6803
2025-06-15 18:30:33.752,1.7323,0.6806
2025-06-15 18:30:54.173,1.7293,0.6823
2025-06-15 18:30:59.224,1.7284,0.6853
2025-06-15 18:31:09.466,1.7273,0.6887
2025-06-15 18:31:19.618,1.726,0.6894
2025-06-15 18:31:29.772,1.7246,0.6891
2025-06-15 18:31:39.935,1.917,0.6404
2025-06-15 18:31:55.199,1.9268,0.6384
2025-06-15 18:32:05.380,1.9306,0.6368
2025-06-15 18:32:15.536,1.9331,0.6326
2025-06-15 18:32:20.587,1.9294,0.6306
2025-06-15 18:32:25.640,1.9323,0.6302
2025-06-15 18:32:30.693,1.9337,0.6286
2025-06-15 18:32:35.738,1.9345,0.6224
2025-06-15 18:32:40.783,1.9354,0.6216
2025-06-15 18:32:45.838,1.9361,0.6211
2025-06-15 18:32:50.892,1.9367,0.6198
2025-06-15 18:32:55.941,1.9371,0.6169
2025-06-15 18:33:00.996,1.9376,0.6193
2025-06-15 18:33:06.046,1.9379,0.6177
2025-06-15 18:33:11.098,1.9384,0.6168
2025-06-15 18:33:21.249,1.9393,0.6148
2025-06-15 18:33:31.394,1.9399,0.6134
2025-06-15 18:33:41.542,1.9407,0.6148
2025-06-15 18:33:56.800,1.9417,0.6109
2025-06-15 18:34:07.025,1.942,0.6099
2025-06-15 18:34:17.204,1.7334,0.6765
2025-06-15 18:34:27.360,1.7254,0.6661
2025-06-15 18:34:32.413,1.7213,0.6643
2025-06-15 18:34:37.462,1.7181,0.6631
2025-06-15 18:34:42.514,1.7161,0.6666
